CODMES;efecto_pandemia;efecto_crisi2008;Morosidad_prct;PIB;PIB_vartri;PIB_varanual;PIB_lag3;PIB_lag6;PIB_lag9;PIB_lag12;TasaParo_prct;Tasaparo_vartri;Tasaparo_varanual;Tasaparo_lag3;Tasaparo_lag6;Tasaparo_lag9;Tasaparo_lag12;IPC;IPC_var_mensual;IPC_vartri;IPC_varanual;IPC_lag3;IPC_lag6;IPC_lag9;IPC_lag12;Precio_avg_m2viviendas;Precio_avg_m2viviendas_vartri;Precio_avg_m2viviendas_varanual;Precio_avg_m2viviendas_lag3;Precio_avg_m2viviendas_lag6;Precio_avg_m2viviendas_lag9;Precio_avg_m2viviendas_lag12;Precio_vivienda_x_Rentabrutahogar;Precio_vivienda_x_Rentabrutahogar_vartri;Precio_vivienda_x_Rentabrutahogar_varanual;Precio_vivienda_x_Rentabrutahogar_lag3;Precio_vivienda_x_Rentabrutahogar_lag6;Precio_vivienda_x_Rentabrutahogar_lag9;Precio_vivienda_x_Rentabrutahogar_lag12;Tipo_cambio_EUR_USD;Tipo_cambio_EUR_USD_vartri;Tipo_cambio_EUR_USD_varanual;Tipo_cambio_EUR_USD_lag3;Tipo_cambio_EUR_USD_lag6;Tipo_cambio_EUR_USD_lag9;Tipo_cambio_EUR_USD_lag12;Renta_dispo_hogares_mm;Renta_dispo_hogares_mm_vartri;Renta_dispo_hogares_mm_varanual;Renta_dispo_hogares_mm_lag3;Renta_dispo_hogares_mm_lag6;Renta_dispo_hogares_mm_lag9;Renta_dispo_hogares_mm_lag12
2010_01;0;1;5,31;99,98;-0,02;0,16;100;100,03;99,82;99,82;19,84;6,32;15,08;18,66;17,75;17,77;17,24;91,8;-1,5;0,64;0,66;92,7;91,9;92,3;91,2;1865,7;-1,41;-4,72;1892,3;1896,8;1920,9;1958,1;8,67;-0,57;0,35;8,72;8,57;8,6;8,64;1,4272;-3,67;7,8;1,4816;1,4088;1,319;1,32;157478;-14,34;1,77;183842;161612;186909;154738
2010_02;0;1;5,4;99,98;-0,02;0,16;100;100,03;99,82;99,82;19,84;6,32;15,08;18,66;17,75;17,77;17,24;91,6;-0,22;0,64;0,44;93,2;92,3;92,2;91,2;1865,7;-1,41;-4,72;1892,3;1896,8;1920,9;1958,1;8,67;-0,57;0,35;8,72;8,57;8,6;8,64;1,3686;-8,23;7,05;1,4914;1,4268;1,365;1,28;157478;-14,34;1,77;183842;161612;186909;154738
2010_03;0;1;5,33;99,98;-0,02;0,16;100;100,03;99,82;99,82;19,84;6,32;15,08;18,66;17,75;17,77;17,24;93,8;2,4;0,64;2,63;93,2;92,1;92,7;91,4;1865,7;-1,41;-4,72;1892,3;1896,8;1920,9;1958,1;8,67;-0,57;0,35;8,72;8,57;8,6;8,64;1,3569;-7,15;3,98;1,4614;1,4562;1,4016;1,31;157478;-14,34;1,77;183842;161612;186909;154738
2010_04;0;1;5,49;100,13;0,15;0,31;99,98;100;100,03;99,82;19,89;0,25;11,93;19,84;18,66;17,75;17,77;94,5;0,75;0,85;2,38;91,8;92,7;91,9;92,3;1848,9;-0,9;-3,75;1865,7;1892,3;1896,8;1920,9;8,77;1,15;1,98;8,67;8,72;8,57;8,6;1,3406;-6,07;1,64;1,4272;1,4816;1,4088;1,32;187501;19,06;0,32;157478;183842;161612;186909
2010_05;0;1;5,5;100,13;0,15;0,31;99,98;100;100,03;99,82;19,89;0,25;11,93;19,84;18,66;17,75;17,77;94,5;0;0,85;2,49;91,6;93,2;92,3;92,2;1848,9;-0,9;-3,75;1865,7;1892,3;1896,8;1920,9;8,77;1,15;1,98;8,67;8,72;8,57;8,6;1,2565;-8,19;-7,95;1,3686;1,4914;1,4268;1,37;187501;19,06;0,32;157478;183842;161612;186909
2010_06;0;1;5,35;100,13;0,15;0,31;99,98;100;100,03;99,82;19,89;0,25;11,93;19,84;18,66;17,75;17,77;94,6;0,11;0,85;2,05;93,8;93,2;92,1;92,7;1848,9;-0,9;-3,75;1865,7;1892,3;1896,8;1920,9;8,77;1,15;1,98;8,67;8,72;8,57;8,6;1,2209;-10,02;-12,89;1,3569;1,4614;1,4562;1,4;187501;19,06;0,32;157478;183842;161612;186909
2010_07;0;1;5,48;100,08;-0,05;0,05;100,13;99,98;100;100,03;19,59;-1,51;10,37;19,89;19,84;18,66;17,75;93,5;-1,16;0;1,74;94,5;91,8;92,7;91,9;1832;-0,91;-3,42;1848,9;1865,7;1892,3;1896,8;8,61;-1,82;0,47;8,77;8,67;8,72;8,57;1,277;-4,74;-9,36;1,3406;1,4272;1,4816;1,41;161024;-14,12;-0,36;187501;157478;183842;161612
2010_08;0;1;5,64;100,08;-0,05;0,05;100,13;99,98;100;100,03;19,59;-1,51;10,37;19,89;19,84;18,66;17,75;93,8;0,32;0;1,63;94,5;91,6;93,2;92,3;1832;-0,91;-3,42;1848,9;1865,7;1892,3;1896,8;8,61;-1,82;0,47;8,77;8,67;8,72;8,57;1,2894;2,62;-9,63;1,2565;1,3686;1,4914;1,43;161024;-14,12;-0,36;187501;157478;183842;161612
2010_09;0;1;5,51;100,08;-0,05;0,05;100,13;99,98;100;100,03;19,59;-1,51;10,37;19,89;19,84;18,66;17,75;94,6;0,85;0;2,71;94,6;93,8;93,2;92,1;1832;-0,91;-3,42;1848,9;1865,7;1892,3;1896,8;8,61;-1,82;0,47;8,77;8,67;8,72;8,57;1,3067;7,03;-10,27;1,2209;1,3569;1,4614;1,46;161024;-14,12;-0,36;187501;157478;183842;161612
2010_10;0;1;5,68;100,14;0,06;0,14;100,08;100,13;99,98;100;20,11;2,65;7,77;19,59;19,89;19,84;18,66;95;0,42;1,37;2,48;93,5;94,5;91,8;92,7;1825,5;-0,35;-3,53;1832;1848,9;1865,7;1892,3;8,71;1,16;-0,11;8,61;8,77;8,67;8,72;1,3898;8,83;-6,2;1,277;1,3406;1,4272;1,48;184321;14,47;0,26;161024;187501;157478;183842
2010_11;0;1;5,69;100,14;0,06;0,14;100,08;100,13;99,98;100;20,11;2,65;7,77;19,59;19,89;19,84;18,66;95,3;0,32;1,37;2,25;93,8;94,5;91,6;93,2;1825,5;-0,35;-3,53;1832;1848,9;1865,7;1892,3;8,71;1,16;-0,11;8,61;8,77;8,67;8,72;1,3661;5,95;-8,4;1,2894;1,2565;1,3686;1,49;184321;14,47;0,26;161024;187501;157478;183842
2010_12;0;1;5,81;100,14;0,06;0,14;100,08;100,13;99,98;100;20,11;2,65;7,77;19,59;19,89;19,84;18,66;95,9;0,63;1,37;2,9;94,6;94,6;93,8;93,2;1825,5;-0,35;-3,53;1832;1848,9;1865,7;1892,3;8,71;1,16;-0,11;8,61;8,77;8,67;8,72;1,322;1,17;-9,54;1,3067;1,2209;1,3569;1,46;184321;14,47;0,26;161024;187501;157478;183842
2011_01;0;1;6,06;99,99;-0,15;0,01;100,14;100,08;100,13;99,98;21,08;4,82;6,25;20,11;19,59;19,89;19,84;94,6;-1,36;1,04;3,05;95;93,5;94,5;91,8;1777,6;-2,62;-4,72;1825,5;1832;1848,9;1865,7;8,44;-3,1;-2,65;8,71;8,61;8,77;8,67;1,336;-3,87;-6,39;1,3898;1,277;1,3406;1,43;158284;-14,13;0,51;184321;161024;187501;157478
2011_02;0;1;6,2;99,99;-0,15;0,01;100,14;100,08;100,13;99,98;21,08;4,82;6,25;20,11;19,59;19,89;19,84;94,7;0,11;1,04;3,38;95,3;93,8;94,5;91,6;1777,6;-2,62;-4,72;1825,5;1832;1848,9;1865,7;8,44;-3,1;-2,65;8,71;8,61;8,77;8,67;1,3649;-0,09;-0,27;1,3661;1,2894;1,2565;1,37;158284;-14,13;0,51;184321;161024;187501;157478
2011_03;0;1;6,11;99,99;-0,15;0,01;100,14;100,08;100,13;99,98;21,08;4,82;6,25;20,11;19,59;19,89;19,84;96,9;2,32;1,04;3,3;95,9;94,6;94,6;93,8;1777,6;-2,62;-4,72;1825,5;1832;1848,9;1865,7;8,44;-3,1;-2,65;8,71;8,61;8,77;8,67;1,3999;5,89;3,17;1,322;1,3067;1,2209;1,36;158284;-14,13;0,51;184321;161024;187501;157478
2011_04;0;1;6,36;99,68;-0,31;-0,45;99,99;100,14;100,08;100,13;20,64;-2,09;3,77;21,08;20,11;19,59;19,89;97,8;0,93;0,62;3,49;94,6;95;93,5;94,5;1752,1;-1,43;-5,24;1777,6;1825,5;1832;1848,9;8,26;-2,13;-5,82;8,44;8,71;8,61;8,77;1,4442;8,1;7,73;1,336;1,3898;1,277;1,34;190365;20,27;1,53;158284;184321;161024;187501
2011_05;0;1;6,49;99,68;-0,31;-0,45;99,99;100,14;100,08;100,13;20,64;-2,09;3,77;21,08;20,11;19,59;19,89;97,7;-0,1;0,62;3,39;94,7;95,3;93,8;94,5;1752,1;-1,43;-5,24;1777,6;1825,5;1832;1848,9;8,26;-2,13;-5,82;8,44;8,71;8,61;8,77;1,4349;5,13;14,2;1,3649;1,3661;1,2894;1,26;190365;20,27;1,53;158284;184321;161024;187501
2011_06;0;1;6,69;99,68;-0,31;-0,45;99,99;100,14;100,08;100,13;20,64;-2,09;3,77;21,08;20,11;19,59;19,89;97,5;-0,2;0,62;3,07;96,9;95,9;94,6;94,6;1752,1;-1,43;-5,24;1777,6;1825,5;1832;1848,9;8,26;-2,13;-5,82;8,44;8,71;8,61;8,77;1,4388;2,78;17,85;1,3999;1,322;1,3067;1,22;190365;20,27;1,53;158284;184321;161024;187501
2011_07;0;1;6,93;99,03;-0,65;-1,05;99,68;99,99;100,14;100,08;21,28;3,1;8,63;20,64;21,08;20,11;19,59;96,3;-1,23;0;2,99;97,8;94,6;95;93,5;1729,3;-1,3;-5,61;1752,1;1777,6;1825,5;1832;8;-3,15;-7,08;8,26;8,44;8,71;8,61;1,4264;-1,23;11,7;1,4442;1,336;1,3898;1,28;163737;-13,99;1,68;190365;158284;184321;161024
2011_08;0;1;7,15;99,03;-0,65;-1,05;99,68;99,99;100,14;100,08;21,28;3,1;8,63;20,64;21,08;20,11;19,59;96,3;0;0;2,67;97,7;94,7;95,3;93,8;1729,3;-1,3;-5,61;1752,1;1777,6;1825,5;1832;8;-3,15;-7,08;8,26;8,44;8,71;8,61;1,4343;-0,04;11,24;1,4349;1,3649;1,3661;1,29;163737;-13,99;1,68;190365;158284;184321;161024
2011_09;0;1;7,16;99,03;-0,65;-1,05;99,68;99,99;100,14;100,08;21,28;3,1;8,63;20,64;21,08;20,11;19,59;97,5;1,25;0;3,07;97,5;96,9;95,9;94,6;1729,3;-1,3;-5,61;1752,1;1777,6;1825,5;1832;8;-3,15;-7,08;8,26;8,44;8,71;8,61;1,377;-4,3;5,38;1,4388;1,3999;1,322;1,31;163737;-13,99;1,68;190365;158284;184321;161024
2011_10;0;1;7,42;98,37;-0,67;-1,77;99,03;99,68;99,99;100,14;22,56;6,02;12,18;21,28;20,64;21,08;20,11;97,9;0,41;0,62;3,05;96,3;97,8;94,6;95;1701,8;-1,59;-6,78;1729,3;1752,1;1777,6;1825,5;7,76;-3;-10,91;8;8,26;8,44;8,71;1,3706;-3,91;-1,38;1,4264;1,4442;1,336;1,39;182125;11,23;-1,19;163737;190365;158284;184321
2011_11;0;1;7,52;98,37;-0,67;-1,77;99,03;99,68;99,99;100,14;22,56;6,02;12,18;21,28;20,64;21,08;20,11;98,1;0,2;0,62;2,94;96,3;97,7;94,7;95,3;1701,8;-1,59;-6,78;1729,3;1752,1;1777,6;1825,5;7,76;-3;-10,91;8;8,26;8,44;8,71;1,3556;-5,49;-0,77;1,4343;1,4349;1,3649;1,37;182125;11,23;-1,19;163737;190365;158284;184321
2011_12;0;1;7,84;98,37;-0,67;-1,77;99,03;99,68;99,99;100,14;22,56;6,02;12,18;21,28;20,64;21,08;20,11;98,1;0;0,62;2,29;97,5;97,5;96,9;95,9;1701,8;-1,59;-6,78;1729,3;1752,1;1777,6;1825,5;7,76;-3;-10,91;8;8,26;8,44;8,71;1,3179;-4,29;-0,31;1,377;1,4388;1,3999;1,32;182125;11,23;-1,19;163737;190365;158284;184321
2012_01;0;1;8,13;97,46;-0,93;-2,53;98,37;99,03;99,68;99,99;24,19;7,23;14,75;22,56;21,28;20,64;21,08;96,5;-1,63;0,51;2,01;97,9;96,3;97,8;94,6;1649,3;-3,08;-7,22;1701,8;1729,3;1752,1;1777,6;7,49;-3,48;-11,26;7,76;8;8,26;8,44;1,2905;-5,84;-3,41;1,3706;1,4264;1,4442;1,34;152977;-16;-3,35;182125;163737;190365;158284
2012_02;0;1;8,3;97,46;-0,93;-2,53;98,37;99,03;99,68;99,99;24,19;7,23;14,75;22,56;21,28;20,64;21,08;96,5;0;0,51;1,9;98,1;96,3;97,7;94,7;1649,3;-3,08;-7,22;1701,8;1729,3;1752,1;1777,6;7,49;-3,48;-11,26;7,76;8;8,26;8,44;1,3224;-2,45;-3,11;1,3556;1,4343;1,4349;1,36;152977;-16;-3,35;182125;163737;190365;158284
2012_03;0;1;8,37;97,46;-0,93;-2,53;98,37;99,03;99,68;99,99;24,19;7,23;14,75;22,56;21,28;20,64;21,08;98,6;2,18;0,51;1,75;98,1;97,5;97,5;96,9;1649,3;-3,08;-7,22;1701,8;1729,3;1752,1;1777,6;7,49;-3,48;-11,26;7,76;8;8,26;8,44;1,3201;0,17;-5,7;1,3179;1,377;1,4388;1,4;152977;-16;-3,35;182125;163737;190365;158284
2012_04;0;1;8,73;96,52;-0,96;-3,17;97,46;98,37;99,03;99,68;24,4;0,87;18,22;24,19;22,56;21,28;20,64;99,7;1,12;0,71;1,94;96,5;97,9;96,3;97,8;1606,4;-2,6;-8,32;1649,3;1701,8;1729,3;1752,1;7,31;-2,4;-11,5;7,49;7,76;8;8,26;1,3162;1,99;-8,86;1,2905;1,3706;1,4264;1,44;177909;16,3;-6,54;152977;182125;163737;190365
2012_05;0;1;8,96;96,52;-0,96;-3,17;97,46;98,37;99,03;99,68;24,4;0,87;18,22;24,19;22,56;21,28;20,64;99,5;-0,2;0,71;1,84;96,5;98,1;96,3;97,7;1606,4;-2,6;-8,32;1649,3;1701,8;1729,3;1752,1;7,31;-2,4;-11,5;7,49;7,76;8;8,26;1,2789;-3,29;-10,87;1,3224;1,3556;1,4343;1,43;177909;16,3;-6,54;152977;182125;163737;190365
2012_06;0;1;9,65;96,52;-0,96;-3,17;97,46;98,37;99,03;99,68;24,4;0,87;18,22;24,19;22,56;21,28;20,64;99,3;-0,2;0,71;1,85;98,6;98,1;97,5;97,5;1606,4;-2,6;-8,32;1649,3;1701,8;1729,3;1752,1;7,31;-2,4;-11,5;7,49;7,76;8;8,26;1,2526;-5,11;-12,94;1,3201;1,3179;1,377;1,44;177909;16,3;-6,54;152977;182125;163737;190365
2012_07;0;1;10,09;96,02;-0,52;-3,04;96,52;97,46;98,37;99,03;24,79;1,6;16,49;24,4;24,19;22,56;21,28;98,4;-0,91;1,51;2,18;99,7;96,5;97,9;96,3;1565,6;-2,54;-9,47;1606,4;1649,3;1701,8;1729,3;7,11;-2,74;-11,13;7,31;7,49;7,76;8;1,2288;-6,64;-13,85;1,3162;1,2905;1,3706;1,43;156041;-12,29;-4,7;177909;152977;182125;163737
2012_08;0;1;10,52;96,02;-0,52;-3,04;96,52;97,46;98,37;99,03;24,79;1,6;16,49;24,4;24,19;22,56;21,28;98,9;0,51;1,51;2,7;99,5;96,5;98,1;96,3;1565,6;-2,54;-9,47;1606,4;1649,3;1701,8;1729,3;7,11;-2,74;-11,13;7,31;7,49;7,76;8;1,24;-3,04;-13,55;1,2789;1,3224;1,3556;1,43;156041;-12,29;-4,7;177909;152977;182125;163737
2012_09;0;1;10,71;96,02;-0,52;-3,04;96,52;97,46;98,37;99,03;24,79;1,6;16,49;24,4;24,19;22,56;21,28;100,8;1,92;1,51;3,38;99,3;98,6;98,1;97,5;1565,6;-2,54;-9,47;1606,4;1649,3;1701,8;1729,3;7,11;-2,74;-11,13;7,31;7,49;7,76;8;1,2856;2,63;-6,64;1,2526;1,3201;1,3179;1,38;156041;-12,29;-4,7;177909;152977;182125;163737
2012_10;0;1;11,23;95,31;-0,74;-3,11;96,02;96,52;97,46;98,37;25,77;3,95;14,23;24,79;24,4;24,19;22,56;101,3;0,5;0,3;3,47;98,4;99,7;96,5;97,9;1531,2;-2,2;-10,02;1565,6;1606,4;1649,3;1701,8;7,19;1,13;-7,35;7,11;7,31;7,49;7,76;1,2974;5,58;-5,34;1,2288;1,3162;1,2905;1,37;171310;9,79;-5,94;156041;177909;152977;182125
2012_11;0;1;11,38;95,31;-0,74;-3,11;96,02;96,52;97,46;98,37;25,77;3,95;14,23;24,79;24,4;24,19;22,56;101,1;-0,2;0,3;3,06;98,9;99,5;96,5;98,1;1531,2;-2,2;-10,02;1565,6;1606,4;1649,3;1701,8;7,19;1,13;-7,35;7,11;7,31;7,49;7,76;1,2828;3,45;-5,37;1,24;1,2789;1,3224;1,36;171310;9,79;-5,94;156041;177909;152977;182125
2012_12;0;1;10,43;95,31;-0,74;-3,11;96,02;96,52;97,46;98,37;25,77;3,95;14,23;24,79;24,4;24,19;22,56;101,1;0;0,3;3,06;100,8;99,3;98,6;98,1;1531,2;-2,2;-10,02;1565,6;1606,4;1649,3;1701,8;7,19;1,13;-7,35;7,11;7,31;7,49;7,76;1,3119;2,05;-0,46;1,2856;1,2526;1,3201;1,32;171310;9,79;-5,94;156041;177909;152977;182125
2013_01;0;1;10,78;95,02;-0,3;-2,5;95,31;96,02;96,52;97,46;26,94;4,54;11,37;25,77;24,79;24,4;24,19;99,2;-1,88;0,1;2,8;101,3;98,4;99,7;96,5;1516,4;-0,97;-8,06;1531,2;1565,6;1606,4;1649,3;6,77;-5,84;-9,61;7,19;7,11;7,31;7,49;1,3288;2,42;2,97;1,2974;1,2288;1,3162;1,29;150868;-11,93;-1,38;171310;156041;177909;152977
2013_02;0;1;10,4;95,02;-0,3;-2,5;95,31;96,02;96,52;97,46;26,94;4,54;11,37;25,77;24,79;24,4;24,19;99,3;0,1;0,1;2,9;101,1;98,9;99,5;96,5;1516,4;-0,97;-8,06;1531,2;1565,6;1606,4;1649,3;6,77;-5,84;-9,61;7,19;7,11;7,31;7,49;1,3359;4,14;1,02;1,2828;1,24;1,2789;1,32;150868;-11,93;-1,38;171310;156041;177909;152977
2013_03;0;1;10,47;95,02;-0,3;-2,5;95,31;96,02;96,52;97,46;26,94;4,54;11,37;25,77;24,79;24,4;24,19;101,2;1,91;0,1;2,64;101,1;100,8;99,3;98,6;1516,4;-0,97;-8,06;1531,2;1565,6;1606,4;1649,3;6,77;-5,84;-9,61;7,19;7,11;7,31;7,49;1,2964;-1,18;-1,8;1,3119;1,2856;1,2526;1,32;150868;-11,93;-1,38;171310;156041;177909;152977
2013_04;0;1;10,88;94,93;-0,09;-1,65;95,02;95,31;96,02;96,52;26,06;-3,27;6,8;26,94;25,77;24,79;24,4;101,2;0;0,2;1,5;99,2;101,3;98,4;99,7;1502,8;-0,9;-6,45;1516,4;1531,2;1565,6;1606,4;6,67;-1,48;-8,76;6,77;7,19;7,11;7,31;1,3026;-1,97;-1,03;1,3288;1,2974;1,2288;1,32;179251;18,81;0,75;150868;171310;156041;177909
2013_05;0;1;11,22;94,93;-0,09;-1,65;95,02;95,31;96,02;96,52;26,06;-3,27;6,8;26,94;25,77;24,79;24,4;101,3;0,1;0,2;1,81;99,3;101,1;98,9;99,5;1502,8;-0,9;-6,45;1516,4;1531,2;1565,6;1606,4;6,67;-1,48;-8,76;6,77;7,19;7,11;7,31;1,2982;-2,82;1,51;1,3359;1,2828;1,24;1,28;179251;18,81;0,75;150868;171310;156041;177909
2013_06;0;1;11,63;94,93;-0,09;-1,65;95,02;95,31;96,02;96,52;26,06;-3,27;6,8;26,94;25,77;24,79;24,4;101,4;0,1;0,2;2,11;101,2;101,1;100,8;99,3;1502,8;-0,9;-6,45;1516,4;1531,2;1565,6;1606,4;6,67;-1,48;-8,76;6,77;7,19;7,11;7,31;1,3189;1,74;5,29;1,2964;1,3119;1,2856;1,25;179251;18,81;0,75;150868;171310;156041;177909
2013_07;0;1;11,98;94,9;-0,03;-1,17;94,93;95,02;95,31;96,02;25,65;-1,57;3,47;26,06;26,94;25,77;24,79;100,3;-1,08;-0,1;1,93;101,2;99,2;101,3;98,4;1495,3;-0,5;-4,49;1502,8;1516,4;1531,2;1565,6;6,72;0,75;-5,49;6,67;6,77;7,19;7,11;1,308;0,41;6,45;1,3026;1,3288;1,2974;1,23;153059;-14,61;-1,91;179251;150868;171310;156041
2013_08;0;1;12,14;94,9;-0,03;-1,17;94,93;95,02;95,31;96,02;25,65;-1,57;3,47;26,06;26,94;25,77;24,79;100,5;0,2;-0,1;1,62;101,3;99,3;101,1;98,9;1495,3;-0,5;-4,49;1502,8;1516,4;1531,2;1565,6;6,72;0,75;-5,49;6,67;6,77;7,19;7,11;1,331;2,53;7,34;1,2982;1,3359;1,2828;1,24;153059;-14,61;-1,91;179251;150868;171310;156041
2013_09;0;1;12,67;94,9;-0,03;-1,17;94,93;95,02;95,31;96,02;25,65;-1,57;3,47;26,06;26,94;25,77;24,79;101,3;0,8;-0,1;0,5;101,4;101,2;101,1;100,8;1495,3;-0,5;-4,49;1502,8;1516,4;1531,2;1565,6;6,72;0,75;-5,49;6,67;6,77;7,19;7,11;1,3348;1,21;3,83;1,3189;1,2964;1,3119;1,29;153059;-14,61;-1,91;179251;150868;171310;156041
2013_10;0;1;13;95,06;0,17;-0,26;94,9;94,93;95,02;95,31;25,73;0,31;-0,16;25,65;26,06;26,94;25,77;101,3;0;0,1;0;100,3;101,2;99,2;101,3;1466,9;-1,9;-4,2;1495,3;1502,8;1516,4;1531,2;6,66;-0,89;-7,37;6,72;6,67;6,77;7,19;1,3635;4,24;5,09;1,308;1,3026;1,3288;1,3;172725;12,85;0,83;153059;179251;150868;171310
2013_11;0;1;13,07;95,06;0,17;-0,26;94,9;94,93;95,02;95,31;25,73;0,31;-0,16;25,65;26,06;26,94;25,77;101,4;0,1;0,1;0,3;100,5;101,3;99,3;101,1;1466,9;-1,9;-4,2;1495,3;1502,8;1516,4;1531,2;6,66;-0,89;-7,37;6,72;6,67;6,77;7,19;1,3493;1,37;5,18;1,331;1,2982;1,3359;1,28;172725;12,85;0,83;153059;179251;150868;171310
2013_12;0;1;13,62;95,06;0,17;-0,26;94,9;94,93;95,02;95,31;25,73;0,31;-0,16;25,65;26,06;26,94;25,77;101,4;0;0,1;0,3;101,3;101,4;101,2;101,1;1466,9;-1,9;-4,2;1495,3;1502,8;1516,4;1531,2;6,66;-0,89;-7,37;6,72;6,67;6,77;7,19;1,3704;2,67;4,46;1,3348;1,3189;1,2964;1,31;172725;12,85;0,83;153059;179251;150868;171310
2014_01;0;1;13,53;95,41;0,37;0,41;95,06;94,9;94,93;95,02;25,93;0,78;-3,75;25,73;25,65;26,06;26,94;99,5;-1,87;-0,49;0,3;101,3;100,3;101,2;99,2;1459,4;-0,51;-3,76;1466,9;1495,3;1502,8;1516,4;6,7;0,6;-1,03;6,66;6,72;6,67;6,77;1,361;-0,18;2,42;1,3635;1,308;1,3026;1,33;146060;-15,44;-3,19;172725;153059;179251;150868
2014_02;0;1;13,43;95,41;0,37;0,41;95,06;94,9;94,93;95,02;25,93;0,78;-3,75;25,73;25,65;26,06;26,94;99,4;-0,1;-0,49;0,1;101,4;100,5;101,3;99,3;1459,4;-0,51;-3,76;1466,9;1495,3;1502,8;1516,4;6,7;0,6;-1,03;6,66;6,72;6,67;6,77;1,3659;1,23;2,25;1,3493;1,331;1,2982;1,34;146060;-15,44;-3,19;172725;153059;179251;150868
2014_03;0;1;13,39;95,41;0,37;0,41;95,06;94,9;94,93;95,02;25,93;0,78;-3,75;25,73;25,65;26,06;26,94;100,9;1,51;-0,49;-0,3;101,4;101,3;101,4;101,2;1459,4;-0,51;-3,76;1466,9;1495,3;1502,8;1516,4;6,7;0,6;-1,03;6,66;6,72;6,67;6,77;1,3823;0,87;6,63;1,3704;1,3348;1,3189;1,3;146060;-15,44;-3,19;172725;153059;179251;150868
2014_04;0;1;13,45;95,86;0,47;0,98;95,41;95,06;94,9;94,93;24,47;-5,63;-6,1;25,93;25,73;25,65;26,06;101,6;0,69;0,59;0,4;99,5;101,3;100,3;101,2;1459,3;-0,01;-2,89;1459,4;1466,9;1495,3;1502,8;6,79;1,34;1,8;6,7;6,66;6,72;6,67;1,3813;1,49;6,04;1,361;1,3635;1,308;1,3;176208;20,64;-1,7;146060;172725;153059;179251
2014_05;0;1;13,41;95,86;0,47;0,98;95,41;95,06;94,9;94,93;24,47;-5,63;-6,1;25,93;25,73;25,65;26,06;101,5;-0,1;0,59;0,2;99,4;101,4;100,5;101,3;1459,3;-0,01;-2,89;1459,4;1466,9;1495,3;1502,8;6,79;1,34;1,8;6,7;6,66;6,72;6,67;1,3732;0,53;5,78;1,3659;1,3493;1,331;1,3;176208;20,64;-1,7;146060;172725;153059;179251
2014_06;0;0;13,09;95,86;0,47;0,98;95,41;95,06;94,9;94,93;24,47;-5,63;-6,1;25,93;25,73;25,65;26,06;101,5;0;0,59;0,1;100,9;101,4;101,3;101,4;1459,3;-0,01;-2,89;1459,4;1466,9;1495,3;1502,8;6,79;1,34;1,8;6,7;6,66;6,72;6,67;1,3592;-1,67;3,06;1,3823;1,3704;1,3348;1,32;176208;20,64;-1,7;146060;172725;153059;179251
2014_07;0;0;13,14;96,56;0,73;1,75;95,86;95,41;95,06;94,9;23,67;-3,27;-7,72;24,47;25,93;25,73;25,65;99,9;-1,58;-0,49;-0,4;101,6;99,5;101,3;100,3;1455,8;-0,24;-2,64;1459,3;1459,4;1466,9;1495,3;6,75;-0,59;0,45;6,79;6,7;6,66;6,72;1,3539;-1,98;3,51;1,3813;1,361;1,3635;1,31;154036;-12,58;0,64;176208;146060;172725;153059
2014_08;0;0;13,24;96,56;0,73;1,75;95,86;95,41;95,06;94,9;23,67;-3,27;-7,72;24,47;25,93;25,73;25,65;100;0,1;-0,49;-0,5;101,5;99,4;101,4;100,5;1455,8;-0,24;-2,64;1459,3;1459,4;1466,9;1495,3;6,75;-0,59;0,45;6,79;6,7;6,66;6,72;1,3316;-3,03;0,05;1,3732;1,3659;1,3493;1,33;154036;-12,58;0,64;176208;146060;172725;153059
2014_09;0;0;13,02;96,56;0,73;1,75;95,86;95,41;95,06;94,9;23,67;-3,27;-7,72;24,47;25,93;25,73;25,65;101;1;-0,49;-0,3;101,5;100,9;101,4;101,3;1455,8;-0,24;-2,64;1459,3;1459,4;1466,9;1495,3;6,75;-0,59;0,45;6,79;6,7;6,66;6,72;1,2901;-5,08;-3,35;1,3592;1,3823;1,3704;1,33;154036;-12,58;0,64;176208;146060;172725;153059
2014_10;0;0;12,91;97,39;0,86;2,45;96,56;95,86;95,41;95,06;23,7;0,13;-7,89;23,67;24,47;25,93;25,73;101,1;0,1;-0,79;-0,2;99,9;101,6;99,5;101,3;1463,1;0,5;-0,26;1455,8;1459,3;1459,4;1466,9;6,71;-0,59;0,75;6,75;6,79;6,7;6,66;1,2673;-6,4;-7,06;1,3539;1,3813;1,361;1,36;179861;16,77;4,13;154036;176208;146060;172725
2014_11;0;0;12,73;97,39;0,86;2,45;96,56;95,86;95,41;95,06;23,7;0,13;-7,89;23,67;24,47;25,93;25,73;100,9;-0,2;-0,79;-0,49;100;101,5;99,4;101,4;1463,1;0,5;-0,26;1455,8;1459,3;1459,4;1466,9;6,71;-0,59;0,75;6,75;6,79;6,7;6,66;1,2472;-6,34;-7,57;1,3316;1,3732;1,3659;1,35;179861;16,77;4,13;154036;176208;146060;172725
