CODMES;efecto_pandemia;efecto_crisi2008;Morosidad_prct;PIB;PIB_vartri;PIB_varanual;PIB_lag3;PIB_lag6;PIB_lag9;PIB_lag12;TasaParo_prct;Tasaparo_vartri;Tasaparo_varanual;Tasaparo_lag3;Tasaparo_lag6;Tasaparo_lag9;Tasaparo_lag12;IPC;IPC_var_mensual;IPC_vartri;IPC_varanual;IPC_lag3;IPC_lag6;IPC_lag9;IPC_lag12;Precio_avg_m2viviendas;Precio_avg_m2viviendas_vartri;Precio_avg_m2viviendas_varanual;Precio_avg_m2viviendas_lag3;Precio_avg_m2viviendas_lag6;Precio_avg_m2viviendas_lag9;Precio_avg_m2viviendas_lag12;Precio_vivienda_x_Rentabrutahogar;Precio_vivienda_x_Rentabrutahogar_vartri;Precio_vivienda_x_Rentabrutahogar_varanual;Precio_vivienda_x_Rentabrutahogar_lag3;Precio_vivienda_x_Rentabrutahogar_lag6;Precio_vivienda_x_Rentabrutahogar_lag9;Precio_vivienda_x_Rentabrutahogar_lag12;Tipo_cambio_EUR_USD;Tipo_cambio_EUR_USD_vartri;Tipo_cambio_EUR_USD_varanual;Tipo_cambio_EUR_USD_lag3;Tipo_cambio_EUR_USD_lag6;Tipo_cambio_EUR_USD_lag9;Tipo_cambio_EUR_USD_lag12;Renta_dispo_hogares_mm;Renta_dispo_hogares_mm_vartri;Renta_dispo_hogares_mm_varanual;Renta_dispo_hogares_mm_lag3;Renta_dispo_hogares_mm_lag6;Renta_dispo_hogares_mm_lag9;Renta_dispo_hogares_mm_lag12
2019_05;0;0;5,65;110,55;0,34;2,15;110,17;109,51;108,79;108,22;14,02;-4,63;-8,25;14,7;14,45;14,55;15,28;105,3;0,19;1,25;0,96;102,5;104,5;103,4;104,3;1637,4;0,07;3,12;1636,3;1618,8;1589,5;1587,9;6,86;-1,29;-0,72;6,95;6,95;6,94;6,91;1,1185;-1,46;-5,31;1,1351;1,1367;1,1549;1,18;218466;24,6;7,09;175330;201913;170862;204005
2019_06;0;0;5,36;110,55;0,34;2,15;110,17;109,51;108,79;108,22;14,02;-4,63;-8,25;14,7;14,45;14,55;15,28;105,2;-0,09;1,25;0,57;103,9;104;104,1;104,6;1637,4;0,07;3,12;1636,3;1618,8;1589,5;1587,9;6,86;-1,29;-0,72;6,95;6,95;6,94;6,91;1,1293;-0,08;-3,3;1,1302;1,1384;1,1659;1,17;218466;24,6;7,09;175330;201913;170862;204005
2019_07;0;0;5,23;110,88;0,3;1,92;110,55;110,17;109,51;108,79;13,92;-0,71;-4,33;14,02;14,7;14,45;14,55;104;-1,14;-0,86;0,68;105,1;102,3;104,8;103,3;1638,3;0,05;3,07;1637,4;1636,3;1618,8;1589,5;6,85;-0,15;-1,3;6,86;6,95;6,95;6,94;1,1218;-0,18;-4;1,1238;1,1416;1,1484;1,17;177607;-18,7;3,95;218466;175330;201913;170862
2019_08;0;0;5,23;110,88;0,3;1,92;110,55;110,17;109,51;108,79;13,92;-0,71;-4,33;14,02;14,7;14,45;14,55;103,9;-0,1;-0,86;0,48;105,3;102,5;104,5;103,4;1638,3;0,05;3,07;1637,4;1636,3;1618,8;1589,5;6,85;-0,15;-1,3;6,86;6,95;6,95;6,94;1,1126;-0,53;-3,66;1,1185;1,1351;1,1367;1,15;177607;-18,7;3,95;218466;175330;201913;170862
2019_09;0;0;5,14;110,88;0,3;1,92;110,55;110,17;109,51;108,79;13,92;-0,71;-4,33;14,02;14,7;14,45;14,55;104,3;0,38;-0,86;0,19;105,2;103,9;104;104,1;1638,3;0,05;3,07;1637,4;1636,3;1618,8;1589,5;6,85;-0,15;-1,3;6,86;6,95;6,95;6,94;1,1004;-2,56;-5,62;1,1293;1,1302;1,1384;1,17;177607;-18,7;3,95;218466;175330;201913;170862
2019_10;0;0;5,1;111,12;0,22;1,47;110,88;110,55;110,17;109,51;13,78;-1,01;-4,64;13,92;14,02;14,7;14,45;105;0,67;0,58;0,19;104;105,1;102,3;104,8;1652,8;0,89;2,1;1638,3;1637,4;1636,3;1618,8;6,79;-0,88;-2,3;6,85;6,86;6,95;6,95;1,1053;-1,47;-3,75;1,1218;1,1238;1,1416;1,15;209509;17,96;3,76;177607;218466;175330;201913
2019_11;0;0;5;111,12;0,22;1,47;110,88;110,55;110,17;109,51;13,78;-1,01;-4,64;13,92;14,02;14,7;14,45;105;0;0,58;0,48;103,9;105,3;102,5;104,5;1652,8;0,89;2,1;1638,3;1637,4;1636,3;1618,8;6,79;-0,88;-2,3;6,85;6,86;6,95;6,95;1,1051;-0,67;-2,78;1,1126;1,1185;1,1351;1,14;209509;17,96;3,76;177607;218466;175330;201913
2019_12;0;0;4,79;111,12;0,22;1,47;110,88;110,55;110,17;109,51;13,78;-1,01;-4,64;13,92;14,02;14,7;14,45;104,9;-0,1;0,58;0,87;104,3;105,2;103,9;104;1652,8;0,89;2,1;1638,3;1637,4;1636,3;1618,8;6,79;-0,88;-2,3;6,85;6,86;6,95;6,95;1,1113;0,99;-2,38;1,1004;1,1293;1,1302;1,14;209509;17,96;3,76;177607;218466;175330;201913
2020_01;0;0;4,85;105,02;-5,49;-4,67;111,12;110,88;110,55;110,17;14,41;4,57;-1,97;13,78;13,92;14,02;14,7;103,4;-1,43;-0,86;1,08;105;104;105,1;102,3;1640,4;-0,75;0,25;1652,8;1638,3;1637,4;1636,3;6,85;0,88;-1,44;6,79;6,85;6,86;6,95;1,11;0,43;-2,77;1,1053;1,1218;1,1238;1,14;180225;-13,98;2,79;209509;177607;218466;175330
2020_02;0;0;4,82;105,02;-5,49;-4,67;111,12;110,88;110,55;110,17;14,41;4,57;-1,97;13,78;13,92;14,02;14,7;103,4;0;-0,86;0,88;105;103,9;105,3;102,5;1640,4;-0,75;0,25;1652,8;1638,3;1637,4;1636,3;6,85;0,88;-1,44;6,79;6,85;6,86;6,95;1,0905;-1,32;-3,93;1,1051;1,1126;1,1185;1,14;180225;-13,98;2,79;209509;177607;218466;175330
2020_03;0;0;4,8;105,02;-5,49;-4,67;111,12;110,88;110,55;110,17;14,41;4,57;-1,97;13,78;13,92;14,02;14,7;104;0,58;-0,86;0,1;104,9;104,3;105,2;103,9;1640,4;-0,75;0,25;1652,8;1638,3;1637,4;1636,3;6,85;0,88;-1,44;6,79;6,85;6,86;6,95;1,1063;-0,45;-2,11;1,1113;1,1004;1,1293;1,13;180225;-13,98;2,79;209509;177607;218466;175330
2020_04;1;0;4,75;86,3;-17,83;-21,94;105,02;111,12;110,88;110,55;15,33;6,38;9,34;14,41;13,78;13,92;14,02;104,4;0,38;0,87;-0,67;103,4;105;104;105,1;1610,1;-1,85;-1,67;1640,4;1652,8;1638,3;1637,4;7,01;2,34;2,19;6,85;6,79;6,85;6,86;1,0862;-2,14;-3,35;1,11;1,1053;1,1218;1,12;200181;11,07;-8,37;180225;209509;177607;218466
2020_05;1;0;4,73;86,3;-17,83;-21,94;105,02;111,12;110,88;110,55;15,33;6,38;9,34;14,41;13,78;13,92;14,02;104,4;0;0,87;-0,85;103,4;105;103,9;105,3;1610,1;-1,85;-1,67;1640,4;1652,8;1638,3;1637,4;7,01;2,34;2,19;6,85;6,79;6,85;6,86;1,0902;-0,03;-2,53;1,0905;1,1051;1,1126;1,12;200181;11,07;-8,37;180225;209509;177607;218466
2020_06;1;0;4,67;86,3;-17,83;-21,94;105,02;111,12;110,88;110,55;15,33;6,38;9,34;14,41;13,78;13,92;14,02;104,9;0,48;0,87;-0,29;104;104,9;104,3;105,2;1610,1;-1,85;-1,67;1640,4;1652,8;1638,3;1637,4;7,01;2,34;2,19;6,85;6,79;6,85;6,86;1,1255;1,74;-0,34;1,1063;1,1113;1,1004;1,13;200181;11,07;-8,37;180225;209509;177607;218466
2020_07;1;0;4,72;100,66;16,64;-9,22;86,3;105,02;111,12;110,88;16,26;6,07;16,81;15,33;14,41;13,78;13,92;103,2;-1,62;-1,14;-0,77;104,4;103,4;105;104;1619,6;0,59;-1,14;1610,1;1640,4;1652,8;1638,3;7,06;0,71;3,07;7,01;6,85;6,79;6,85;1,1463;5,53;2,18;1,0862;1,11;1,1053;1,12;180507;-9,83;1,63;200181;180225;209509;177607
2020_08;1;0;4,74;100,66;16,64;-9,22;86,3;105,02;111,12;110,88;16,26;6,07;16,81;15,33;14,41;13,78;13,92;103,2;0;-1,14;-0,67;104,4;103,4;105;103,9;1619,6;0,59;-1,14;1610,1;1640,4;1652,8;1638,3;7,06;0,71;3,07;7,01;6,85;6,79;6,85;1,1828;8,49;6,31;1,0902;1,0905;1,1051;1,11;180507;-9,83;1,63;200181;180225;209509;177607
2020_09;1;0;4,58;100,66;16,64;-9,22;86,3;105,02;111,12;110,88;16,26;6,07;16,81;15,33;14,41;13,78;13,92;103,7;0,48;-1,14;-0,58;104,9;104;104,9;104,3;1619,6;0,59;-1,14;1610,1;1640,4;1652,8;1638,3;7,06;0,71;3,07;7,01;6,85;6,79;6,85;1,1792;4,77;7,16;1,1255;1,1063;1,1113;1,1;180507;-9,83;1,63;200181;180225;209509;177607
2020_10;1;0;4,57;100,6;-0,06;-9,47;100,66;86,3;105,02;111,12;16,13;-0,8;17,05;16,26;15,33;14,41;13,78;104;0,29;0,58;-0,95;103,2;104,4;103,4;105;1622,3;0,17;-1,85;1619,6;1610,1;1640,4;1652,8;7,14;1,13;5,15;7,06;7,01;6,85;6,79;1,1775;2,72;6,53;1,1463;1,0862;1,11;1,11;204758;13,43;-2,27;180507;200181;180225;209509
2020_11;1;0;4,57;100,6;-0,06;-9,47;100,66;86,3;105,02;111,12;16,13;-0,8;17,05;16,26;15,33;14,41;13,78;104,1;0,1;0,58;-0,86;103,2;104,4;103,4;105;1622,3;0,17;-1,85;1619,6;1610,1;1640,4;1652,8;7,14;1,13;5,15;7,06;7,01;6,85;6,79;1,1838;0,08;7,12;1,1828;1,0902;1,0905;1,11;204758;13,43;-2,27;180507;200181;180225;209509
2020_12;1;0;4,51;100,6;-0,06;-9,47;100,66;86,3;105,02;111,12;16,13;-0,8;17,05;16,26;15,33;14,41;13,78;104,3;0,19;0,58;-0,57;103,7;104,9;104;104,9;1622,3;0,17;-1,85;1619,6;1610,1;1640,4;1652,8;7,14;1,13;5,15;7,06;7,01;6,85;6,79;1,217;3,21;9,51;1,1792;1,1255;1,1063;1,11;204758;13,43;-2,27;180507;200181;180225;209509
2021_01;1;0;4,54;100,37;-0,23;-4,43;100,6;100,66;86,3;105,02;15,98;-0,93;10,9;16,13;16,26;15,33;14,41;103,9;-0,38;0,86;0,48;104;103,2;104,4;103,4;1625,4;0,19;-0,91;1622,3;1619,6;1610,1;1640,4;7,25;1,54;5,84;7,14;7,06;7,01;6,85;1,2171;3,36;9,65;1,1775;1,1463;1,0862;1,11;178639;-12,76;-0,88;204758;180507;200181;180225
2021_02;1;0;4,55;100,37;-0,23;-4,43;100,6;100,66;86,3;105,02;15,98;-0,93;10,9;16,13;16,26;15,33;14,41;103,3;-0,58;0,86;-0,1;104,1;103,2;104,4;103,4;1625,4;0,19;-0,91;1622,3;1619,6;1610,1;1640,4;7,25;1,54;5,84;7,14;7,06;7,01;6,85;1,2098;2,2;10,94;1,1838;1,1828;1,0902;1,09;178639;-12,76;-0,88;204758;180507;200181;180225
